Date	Time	Open	High	Low	Close	CL	BL	LS	FS1	FS2	Chaikin	%K	%D	HOBV	signal	MFI	ADX	plus	minus	DMI	
2023/12/04	23:50:22	16049.4	16055.25	16024.25	16041.88	16122.25	 	 	 	 	-143.4	6.79	12.47	-2153	-911	0	52.28	4.36	23.07	31.29	
2023/12/04	23:55:06	16045.64	16057.75	16033.5	16045.13	16114.5	16162.63	 	 	 	-135.35	7.2	10.36	-1835	-1197.2	14.71	54.06	4.83	21.25	33.58	
2023/12/05	00:02:29	16045.38	16071.5	16029.25	16044.88	16107.36	16153.13	 	 	 	-136.89	7.65	9.28	-1523	-1431.28	29.03	50.9	8.76	18.24	40.51	
2023/12/05	00:11:52	16045.13	16045.25	15986.5	16016	16072.57	16119	 	 	 	-129.92	9.36	9.31	-1850	-1615.16	29	52.48	7.08	28.66	28.42	
2023/12/05	00:22:55	16030.56	16030.56	15957.5	15974.81	16034.07	16104.5	 	 	 	-146.36	8.84	9.12	-2164	-1751.52	28.56	55.38	5.51	31.11	24.4	
2023/12/05	00:26:32	16002.69	16002.69	15946.75	15956.75	16014.49	16099.13	 	 	 	-180.23	7.41	8.44	-2471	-1839	28.53	58.29	4.58	29.1	25.48	
2023/12/05	00:31:27	15979.72	15979.72	15933.5	15946.63	16002.5	16092.5	 	 	 	-215.46	6.42	7.63	-2838	-1930.68	27.86	61.28	3.92	29.04	24.88	
2023/12/05	00:36:14	15963.17	15963.17	15920.75	15933.75	15996.13	16086.13	 	 	 	-245.52	4.88	6.53	-3186	-2076.6	27.57	64.27	3.38	29.18	24.21	
2023/12/05	00:53:35	15948.46	15948.46	15920.25	15929.88	15995.88	16085.88	 	 	 	-264.94	4.35	5.66	-3495	-2275.08	13.72	66.78	3.05	26.48	26.57	
2023/12/05	01:05:26	15939.17	15954.25	15930.25	15943.38	15995.88	16085.88	 	 	 	-255.66	6.07	5.82	-3153	-2499.8	14.76	66.6	4.97	24.03	30.94	
2023/12/05	01:17:31	15941.27	15970	15941.27	15958.13	15995.88	16085.88	 	 	 	-227.35	9.72	7.38	-2843	-2726.68	28.38	60.98	10.74	21.25	39.49	
2023/12/05	01:30:05	15949.7	16026.25	15949.7	15994.94	15982.75	16085.88	 	 	 	-188.87	19.58	12.26	-2509	-2900.28	42.58	55.52	27.69	15.51	62.18	
2023/12/05	01:58:45	15972.32	16030.25	15972.32	16024.56	15975.41	16085.88	 	 	 	-113.59	36.65	22.02	-2185	-2967.32	56.18	51.41	23.59	12.45	61.14	
2023/12/05	02:07:56	15998.44	16051.5	15998.44	16036.81	15985.88	16085.88	 	 	 	-41.66	54.15	34.87	-1865	-2903.36	71.34	50.23	26.52	10.24	66.28	
2023/12/05	02:28:08	16017.63	16063.25	16017.63	16052.19	15991.75	16085.88	 	 	 	28.17	70.66	49.19	-1544	-2735.48	86.37	50.3	26.4	8.65	67.75	
2023/12/05	02:48:23	16034.91	16068.25	16034.91	16056.5	15994.25	16085.88	 	 	 	80.61	80.84	61.85	-1235	-2488.4	100	50.81	25.04	7.61	67.42	
2023/12/05	03:08:05	16045.7	16052.75	16025.75	16038.88	15994.25	16078.63	 	 	 	103.97	83.65	70.57	-1514	-2214.68	87.28	48.48	22.11	10.21	61.9	
2023/12/05	03:26:09	16042.29	16042.29	16018	16027.19	15999.25	16070.25	 	 	 	98.67	82.5	75.34	-1822	-1966.48	73.25	44.29	19.9	12.37	57.53	
2023/12/05	03:44:35	16034.74	16035	16006.25	16018.69	16004.76	16062.5	 	 	 	83.6	77.32	76.13	-2118	-1793.6	59.07	37.66	17.43	15.91	51.51	
2023/12/05	04:04:11	16026.71	16031.5	15997.5	16015.44	16008.97	16055.36	 	 	 	73.51	70.81	74	-2437	-1720.8	44.17	32.71	14.82	17.39	47.43	
2023/12/05	04:18:28	16021.08	16040.75	16020.5	16027.81	16020.28	16039.45	 	 	 	49.38	68.94	71.98	-2125	-1747.92	43.96	28.31	17.38	15.33	52.05	
2023/12/05	04:34:06	16024.44	16041	16020.5	16027.56	16032.88	16015.44	 	 	 	17.94	69	70.79	-1830	-1827.48	34.09	24.7	15.72	13.75	51.96	
2023/12/05	04:46:57	16026	16037.75	16015.75	16025.19	16032.88	16001.24	 	 	 	-7.75	69.59	70.31	-2135	-1934.08	17.16	21.05	13.88	14.67	49.21	
2023/12/05	05:08:17	16025.6	16028.25	16008.75	16020.19	16032.88	15995.88	 	 	 	-12.9	69.29	69.9	-2436	-2043.28	16.95	20.19	12.34	17.02	45.32	
2023/12/05	05:20:34	16022.89	16046	16021.5	16033.75	16025.13	15995.88	 	 	 	-15.05	68.71	69.43	-2121	-2104.12	33.95	19.81	20.78	14.48	56.3	
2023/12/05	05:33:29	16028.32	16061.25	16028.32	16052.25	16029.38	15995.88	 	 	 	11.8	70.46	69.84	-1761	-2114.8	51.65	22.65	25.54	11.78	63.76	
2023/12/05	05:44:36	16040.29	16085	16040.29	16069.88	16041.25	16002.63	 	16138.56	 	44.71	73.5	71.3	-1415	-2096.24	68.78	28.2	31.96	9.04	72.92	
2023/12/05	05:54:12	16055.08	16075.75	16055.08	16068.44	16041.25	16002.63	 	16130.24	 	77.23	78.9	74.34	-1072	-2022.64	69.28	32.82	28.3	8	70.3	
2023/12/05	06:01:17	16061.76	16063.5	16054	16059.06	16046.88	16002.63	 	16095.79	 	92.17	79.46	76.39	-1178	-1886	65.74	36.16	25.83	7.96	67.87	
